listing_id,price,bathrooms,bedrooms,cancellation_policy,guests_included,property_type,zipcode,star_rating,reviews_count,city,room_type
22846864,58,1,1,moderate,2,Guesthouse,33137,5,8,Miami,Entire home
22847452,12,1,1,flexible,1,House,33147,4,5,Miami,Shared room
22848184,113,1,1,strict_14_with_grace_period,3,Apartment,90029,5,9,Los Angeles,Entire home
22848216,43,2,1,moderate,1,Apartment,33172,4.5,23,Miami,Private room
22848708,165,1,1,strict_14_with_grace_period,2,Apartment,90025,4,7,Los Angeles,Entire home
22849017,35,3,1,strict_14_with_grace_period,1,Hostel,90024,3.5,3,Los Angeles,Shared room
22849121,209,1,1,flexible,1,Apartment,90017,3.5,10,Los Angeles,Entire home
22849616,37,1,1,strict_14_with_grace_period,1,House,90048,4.5,7,Los Angeles,Shared room
22850291,47,1,1,moderate,1,House,90004,4.5,10,Los Angeles,Private room
22850383,70,1,1,flexible,3,Apartment,90016,4.5,14,Los Angeles,Entire home
22850491,79,1.5,1,moderate,1,House,NULL,5,8,Los Angeles,Private room
22851055,60,1,1,flexible,1,House,91344,5,5,Los Angeles,Private room
22853176,20,2,1,strict_14_with_grace_period,1,Apartment,90028,4.5,8,Los Angeles,Shared room
22853328,20,2,1,strict_14_with_grace_period,1,Apartment,90028,5,4,Los Angeles,Shared room
22856619,55,1,0,strict_14_with_grace_period,2,Guest suite,33129,4.5,15,Miami,Entire home
22858099,121,1,1,moderate,1,House,78705,5,13,Austin,Entire home
22858256,149,1,0,strict_14_with_grace_period,2,Apartment,90025,5,11,Los Angeles,Entire home
22860684,149,1,1,moderate,2,Apartment,90038,4,7,Los Angeles,Entire home
22861115,699,1,1,strict_14_with_grace_period,1,Apartment,02116,4.5,3,Boston,Entire home
22861381,70,1,2,moderate,1,Loft,78751,5,3,Austin,Entire home
22862915,46,1,1,moderate,1,House,91367,4.5,12,Los Angeles,Private room
22863664,130,1,1,moderate,4,Apartment,90017,5,6,Los Angeles,Entire home
22863942,159,1,1,flexible,2,Apartment,90028,5,5,Los Angeles,Entire home
22864150,118,1,2,flexible,1,Condominium,78759,5,7,Austin,Entire home
22865665,120,1,1,flexible,1,Bungalow,90068,5,3,Los Angeles,Entire home
22865924,100,2,3,strict_14_with_grace_period,3,House,33196,5,6,Miami,Private room
22866562,996,3,4,moderate,1,House,90069,5,6,Los Angeles,Entire home
22866657,44,1,1,flexible,1,Apartment,90004,4.5,4,Los Angeles,Private room
22867313,35,1,1,strict_14_with_grace_period,1,Apartment,90045,4.5,7,Los Angeles,Shared room
22867836,10,1,1,moderate,1,Guest suite,90036,4.5,5,Los Angeles,Private room
22867999,49,1,1,moderate,1,Guest suite,90036,5,9,Los Angeles,Private room
22868078,149,1,1,flexible,1,Guest suite,90048,5,12,Los Angeles,Entire home
22868733,110,2,2,moderate,5,Apartment,33169,4.5,11,Miami,Entire home
22869183,85,1,1,moderate,1,Guest suite,78702,4.5,9,Austin,Entire home
22869224,200,3,4,strict_14_with_grace_period,8,House,90068,5,7,Los Angeles,Entire home
22870599,304,2,3,strict_14_with_grace_period,1,Loft,90028,4,5,Los Angeles,Entire home
22875240,100,1,1,strict_14_with_grace_period,4,Cottage,33137,5,17,Miami,Entire home
22875540,100,1,1,moderate,2,House,90006,4,13,Los Angeles,Private room
22877336,245,1,1,moderate,1,Guest suite,78704,4.5,3,Austin,Private room
22878074,98,1,2,strict_14_with_grace_period,4,Apartment,33145,5,10,Miami,Entire home
22879512,47,1,1,moderate,2,Guest suite,33157,5,33,Miami,Private room
22881495,63,1,0,moderate,1,Guesthouse,33126,5,14,Miami,Entire home
22881856,159,1,2,strict_14_with_grace_period,3,Apartment,02128,4.5,10,Boston,Entire home
22881938,199,1,1,strict,1,Aparthotel,33131,5,5,Miami,Private room
22881991,100,1,1,moderate,1,Loft,90014,5,15,Los Angeles,Entire home
22882856,60,2.5,1,flexible,1,House,78741,5,12,Austin,Private room
22883051,85,1,1,flexible,1,Apartment,90018,5,7,Los Angeles,Entire home
22883093,99,1,1,strict_14_with_grace_period,5,Apartment,33133,4.5,6,Miami,Entire home
22883118,90,1,1,flexible,2,Apartment,91601,4.5,11,Los Angeles,Entire home
22883459,129,1,0,moderate,2,Apartment,33131,5,5,Miami,Entire home
22883563,268,1,2,strict_14_with_grace_period,3,Condominium,02128,5,13,Boston,Entire home
22883590,300,1,1,moderate,2,Apartment,02114,4.5,16,Boston,Entire home
22883701,159,1,2,strict_14_with_grace_period,4,House,78741,5,8,Austin,Entire home
22883779,329,1,2,strict_14_with_grace_period,3,Apartment,02128,5,6,Boston,Entire home
22883794,100,1,0,moderate,1,Guesthouse,90026,5,17,Los Angeles,Entire home
22884014,35,1,1,moderate,1,Apartment,78741,5,9,Austin,Private room
22884201,75,1,1,moderate,1,House,78702,5,17,Austin,Private room
22884317,230,1,1,strict_14_with_grace_period,1,Apartment,90035,4.5,3,Los Angeles,Entire home
22885014,77,1,0,strict_14_with_grace_period,1,Condominium,33137,5,6,Miami,Entire home
22885027,70,1,1,strict_14_with_grace_period,2,Townhouse,91606,5,10,Los Angeles,Entire home
22886713,99,1,1,moderate,1,Guest suite,02135,5,28,Boston,Entire home
22887302,400,3,4,moderate,6,House,90012,5,19,Los Angeles,Entire home
22887316,99,1,1,strict_14_with_grace_period,2,Apartment,90291,4.5,7,Los Angeles,Private room
22887423,1000,1,1,super_strict_30,1,Apartment,78702,5,3,Austin,Entire home
22887911,267,2,2,moderate,1,House,90291,4.5,15,Los Angeles,Entire home
22888718,100,1,0,moderate,1,Apartment,02114,5,11,Boston,Entire home
22888946,500,1,1,flexible,1,Loft,90015,4.5,3,Los Angeles,Entire home
22889232,180,1,2,flexible,4,Condominium,02129,5,3,Boston,Entire home
22889357,58,1.5,1,strict_14_with_grace_period,2,Townhouse,78757,5,10,Austin,Private room
22889403,35,1,1,strict_14_with_grace_period,1,Apartment,90045,5,12,Los Angeles,Shared room
22889428,35,2,1,moderate,2,Apartment,02128,4.5,6,Boston,Private room
22889473,170,2,2,strict_14_with_grace_period,2,Townhouse,90068,5,3,Los Angeles,Entire home
22889640,40,2,1,moderate,2,Apartment,02128,4.5,3,Boston,Private room
22889658,1000,2,2,super_strict_30,1,Apartment,78702,5,9,Austin,Entire home
22889806,55,1,0,moderate,1,Apartment,91403,3.5,7,Los Angeles,Entire home
